fishing_number,previous_companies,blacklisted_in,previous_callsign,name,links,owner_company,mmsi,url,system,imo,previous_flags,previous_names,source,flag,callsign,notes,date,vessel_length,controller_region,class
CT8-0065,,"Greenpeace
Reason for blacklisting: Kiribati fisheries officer Taratau Kirata explains the captain of Fong Seong 779 purse seiner failed to use the English language when logging and also failed to present the vessel’s operation license when inspected, last Sunday, near Nonouti Island, in Central Kiribati.
“Fong Seong 779 is licensed to fish in our waters, there’s no doubts about that,” Kirata said. “But the arrest was made  in accordance with the Rukuruku Operation  declaration.
“When the log book was inspected, it didn't show the entry date, it’s written in Taiwanese and two days of activities were not entered.”
The Kiribati Maritime Fisheries Enforcement Committee, which decides on the amount of fine to be imposed for foreign boats caught fishing illegally inside Kiribati waters, fined the Taiwanese boat US$100,000.

Source of IUU information: http://www.ffa.int/mcs/node/1592",,Fong Seong No.779,,"CHING FONG MARINE PRODUCTS CO.,LTD",Inmarsat B: 322899842,http://blacklist.greenpeace.org/1/vessel/show/209-fong-seong-no779,,n.a.,,,GreenpeaceBlacklist,Taiwan,BEBT,"2nd October 2008A Taiwanese fishing boat, Fong Seong 779, was arrested inside Kiribati’s 200 mile exclusive economic zone",2008-10-02,78.2,Taiwan,Purse Seiner
,,"Greenpeace
Reason for blacklisting: Illegal transfer of fuel inside Kiribati EEZ
Source of IUU information: http://www.ffa.int/media_release/all",,Hai Soon 28,,Hai Soon Ship Mgmt Pte Ltd,529126000,http://blacklist.greenpeace.org/1/vessel/show/185-hai-soon-28,,8905397,,Kakushu Maru,GreenpeaceBlacklist,Kiribati,T3NE,"On 27 August 2009, the Kiribati Court of Appeal  fined Athena Shipping and No Euihyeong, owner and master, respectively, of the Hai Soon 28, for operating without a licence in Kiribati waters.On 21 February 2009 Hai Soon 28 was seen unloading fuel to a fishing vessel without a permit. A Kiribati Police Officer and Kiribati Fisheries Officer boarded the Hai Soon 28 from a US Coastguard vessel and brought the ship back to port where it was placed under arrest.In court, 19 cases of refueling were confirmed and total fines ordered were $380,000",2007-11-30,105,Singapore,Bunker
,,"Greenpeace
Reason for blacklisting: Cambodia is not a WCFPC CCM and the Heng Xing 1 is not on the WCPFC Interim
Register of Non-Member Fish Carrier and Bunker Vessels, rendering its activities
unregulated in the Convention Area, and rendering the transshipment from vessels
flagged to CCMs illegal under the terms of WCPFC Conservation and Management
Measure 2009-06.
Source of IUU information: Greenpeace observation November 14, 2012

http://www.greenpeace.org/seasia/ph/PageFiles/470194/IUU%20Report_Illegal%20Transhipment_14%20Nov%202012.pdf",,Heng Xing 1,,Zhoushan International Shipping Agency Limited,667003426,http://blacklist.greenpeace.org/1/vessel/show/228-heng-xing-1,,8834421,China Mainland,Jin Li,GreenpeaceBlacklist,Sierra Leone,9LY2623,"Greenpeace ship was at the south of High Seas Pocket 1 near the Indonesian EEZ when theCambodia reefer Heng Xing 1",2011-08-28,65,China Mainland,Reefer
CT4-2921,,"Greenpeace
Reason for blacklisting: Illigal transhipment from Taiwan longliner Jia Yu Fa.
The Federated States of Micronesia Marine Resources Act 2002, section 407 states:
Section 407. Related activities - transshipment.",,Her Hae,,Kung Kuen Tung,,http://blacklist.greenpeace.org/1/vessel/show/181-her-hae,,Nil,,,GreenpeaceBlacklist,Taiwan,BJ4921,"Her Hae, a Taiwanese flagged longliner, was documented by the helicopter of theGreenpeace ship Esperanza during the Defending Our Pacific tour 2009. Her Hae wasreceiving fish from the vessel Jia Yu Fa in the high seas south of the waters of the FederatedStates of Micronesia",2009-12-07,29.4,Taiwan,Longline
,,"Greenpeace
Reason for blacklisting: Fish laundering

Notes provide substantial evidence of covering up for illegal activity and engaging in fraud with respect to government documents",,Huang Shin,,Chen Te Tsai,,http://blacklist.greenpeace.org/1/vessel/show/36-huang-shin,,,,,GreenpeaceBlacklist,Taiwan,BI2561,28 Large Scale Tuna Longline Fishing Vessels,,55.9,Taiwan,Longline
,,"Greenpeace
Reason for blacklisting: Fish laundering

Notes provide substantial evidence of covering up for illegal activity and engaging in fraud with respect to government documents",,Hui Fa,,Chang Jaan Fishery Co Ltd,576848000.0,http://blacklist.greenpeace.org/1/vessel/show/35-hui-fa,,8947498.0,Belize,Chang Jaan No.1,GreenpeaceBlacklist,Vanuatu,YJSW2,28 Large Scale Tuna Longline Fishing Vessels,2010-04-30,45.6,Taiwan,Longline
,China National Fisheries Corporation,"Greenpeace
Reason for blacklisting: Between June and Oct. 30, 2013 Insung No.7 crossed into Argentina's EEZ 11 times

In 2011 This vessel contravened a number of CCAMLR Conservation
Measures, including having fished 339% above the allowed limit in SSRU 58.4.2E. Fishing occurred after being advised by the CCAMLR Secretariat that the TAC for that area had been reached and in fact exceeded.


Source of IUU information: http://www.koreatimes.co.kr/www/news/biz/2014/08/127_162103.html
http://www.asoc.org/storage/documents/Meetings/CCAMLR/XXX/ASOC_CCAMLR_XXX_Meeting_Report.pdf",,In Sung No.7,,Insung Corporation,441666000,http://blacklist.greenpeace.org/1/vessel/show/243-in-sung-no7,,9230660,,Champion,GreenpeaceBlacklist,"Korea, Republic of",DTBX4,"A Korean fishing vessel accused of illegal fishing, will be able to put an end to 9 months at sea and finally enter the port of Montevideo in Uruguay on Aug. 5, 2014.The 647-ton Insung No. 7 departed Busan Port last year, but after catching Antarctic cod between June and Oct. 30 it was refused entry to sell its fish at any maritime port due to its alleged illegal catch. It can enter ports to buy supplies and oil onlyThe Ministry of Oceans and Fisheries",2014-08-02,54.55,"Korea, Republic of",Bottom Longline
,,"Greenpeace
Reason for blacklisting: Greenpeace has documented the activities of these five 

fishing trawlers since April 2005; as they fished illegally 

without quota for redfish in the Irminger Sea, over-wintered in the German port of Rostock, and then returned illegally to their old fishing grounds in the North Atlantic in 2006
Source of IUU information: http://www.greenpeace.org/raw/content/international/ press/reports/caught-red-handed.pdf",,Isabella,,,213531000.0,http://blacklist.greenpeace.org/1/vessel/show/142-isabella-broken-up,,8422838.0,Dominica,Olchan,GreenpeaceBlacklist,Georgia,4LSY,"Where others failed, Russia acts Ending the days of plunder: halting the pirates The ""Rostock Pirates"" exposed in Lithuania The Georgian ""Trawler Girls"" - Factsheet Greenpeace stops pirate fishing vessels in European port … Rostock Update: Fifth pirate now in chains! - Ocean Defenders ...",Broken up ,62.2,Russian Federation,Trawler
,,"Greenpeace
Reason for blacklisting: Failure to report catch correctly 
Source of IUU information: http://www.greenpeace.org/eu-unit/en/News/2013/Monster-Trawler-Parlevliet--Van-der-Plas-dumps-15-million-kilo-of-fish-in-the-ocean/

http://www.lloydslistintelligence.com/llint/vessels/overview.htm?vesselId=216272",,Jan Maria,,Parlevliet en Van der Plas B.V.,211207530,http://blacklist.greenpeace.org/1/vessel/show/229-jan-maria,,8707446,,,GreenpeaceBlacklist,Germany,DFDJ,"On March 28, 2013, Greenpeace Netherlands lodged a legal complaint with the Dutch Food and Consumer Product Safety Authorities",1988-11-04,125.53,Netherlands,Factory Trawler
CT4-2606,,"Greenpeace
Reason for blacklisting: The Federated States of Micronesia Marine Resources Act 2002, section 407 states:
Section 407. Related activities - transshipment.",,Jia Yu Fa,,"Horng, Chinq-An",,http://blacklist.greenpeace.org/1/vessel/show/180-jia-yu-fa,,Nil,,,GreenpeaceBlacklist,Taiwan,BJ4606,"Jia Yu Fa, a Taiwanese flagged longliner, was documented by the helicopter of the Greenpeace ship Esperanza during the Defending Our Pacific tour 2009. Jia Yu Fa wastransferring fish to the vessel Her Hae in the high seas south of the waters of the FederatedStates of Micronesia",2009-12-07,24.5,Taiwan,Longline
,,"Greenpeace
Reason for blacklisting: New Zealand Fisheries Act 1996 for misreporting and illegal dumping of fish
Source of IUU information: http://www.lloydslistintelligence.com/llint/vessels/overview.htm?vesselId=126374

http://www.fish.govt.nz/en-nz/Press/Oyang+77+charges+laid.htm",,Jille,,Sajo Oyang Corporation,440256000,http://blacklist.greenpeace.org/1/vessel/show/227-jille,,7416612,,Oyang No.77,GreenpeaceBlacklist,"Korea, Republic of",6NBG,"OYANG 77 CHARGES LAID16 MAY 2012Charges have been laid against the skipper and factory manager of the Oyang 77 in relation to misreporting and illegal dumping of fish, the Ministry for Primary Industries",2013-11-03,66.5,"Korea, Republic of",Trawler
CT3-4809,,"Greenpeace
Reason for blacklisting: Fishing inside the USA’s EEZ around the Northern Mariana Islands, a USA Commonwealth Territory, without a permit, in August 2008
Source of IUU information: WCPFC
Technical and Compliance Committee
Fifth Regular Session
1–6 October 2009
Pohnpei, Federated States of Micronesia
SUMMARY REPORT",,JIN HAI FU NO.10,,"HONG LIN, MA-LIANG",88688330983,http://blacklist.greenpeace.org/1/vessel/show/193-jin-hai-fu-no10,,,,,GreenpeaceBlacklist,Taiwan,BK6809,"Both the owner of the vessel and Taiwan have acknowledged the violation.The USA issued a fine in the amount of USD 130,000 on 27 February 2009.Settlement discussions were ongoing during TCC5. The USA informed TCC5 on 6 October 2009 that the case had been settled to their satisfaction.",2010-08-17,20.8,Taiwan,Longline
A-2053-N,,"Greenpeace
Reason for blacklisting: Canada's NAFO inspectors issue citation December 19, 2004 against the Portuguese vessel, Joana Princesa, for the serious infringement of conducting a directed fishery for American plaice - a moratoria species. 

August 25, 2006 - The Portuguese vessel Joana Princesa was issued one citation for using an illegal net liner. This is considered to be a serious infringement of NAFO’s conservation and enforcement measures
Source of IUU information: http://www.dfo-mpo.gc.ca/overfishing-surpeche/en_citations_e.htm",,Joana Princesa,,Grupo Silva Viera,263540000.0,http://blacklist.greenpeace.org/1/vessel/show/57-joana-princesa,,7004744.0,,Inacio Cunha,GreenpeaceBlacklist,Portugal,CUFK,"The Joana Princesa was caught in the act of IUU  on Aug. 25, 2006  on the Grand Banks of Newfoundland. Canadian inspector who boarded the vessel found that the vessel was using fabric lining on its net making it impossible for any of the catch to escape the net which is not an allowed fishing method,.The Princesa was also cited in December 2004 for illegally catching more than five tonnes of American plaice, a species under moratoria. In 2003, the same vessel was issued three citations, including one for exceeding the five per cent bycatch limit for American plaice. It was also charged in 2001 for using small-mesh gear.",,80.3,Portugal,Trawler
,,"Greenpeace
Reason for blacklisting: Greenpeace has documented the activities of these five 

fishing trawlers since April 2005; as they fished illegally 

without quota for redfish in the Irminger Sea, over-wintered in the German port of Rostock, and then returned illegally to their old fishing grounds in the North Atlantic in 2006
Source of IUU information: http://www.greenpeace.org/raw/content/international/ press/reports/caught-red-handed.pdf",,Juanita,,,213534000.0,http://blacklist.greenpeace.org/1/vessel/show/143-juanita-broken-up,,8522042.0,Dominica,Ostroe,GreenpeaceBlacklist,Georgia,4LSM,"Where others failed, Russia acts Ending the days of plunder: halting the pirates The ""Rostock Pirates"" exposed in Lithuania The Georgian ""Trawler Girls"" - Factsheet Greenpeace stops pirate fishing vessels in European port … Rostock Update: Fifth pirate now in chains! - Ocean Defenders ...",Broken up ,62.2,Russian Federation,Trawler
KO1-877,,"Greenpeace
Reason for blacklisting: No VMS reporting

“Unreported fishing refers to fishing activities:",,Kaisei Maru 53,,,,http://blacklist.greenpeace.org/1/vessel/show/5-kaisei-maru-53,,9237967.0,,,GreenpeaceBlacklist,Japan,JL6404,"13th September 2006 Japanese Longliner The Kaisei Maru 53 VMS was switched on but it hadn’t been reporting Basic documents such as licenses, catch diaries, bunkering and supplies records were inspected and verified with land based Federal States of Micronesia marine enforcement. The ship was ordered to stop fishing immediately, to manually report every 8 hours, and to go to directly to the nearest port of Guam to get its VMS fixed.",2000-01-01,33.2,Japan,Longline/Freezer
,,"Greenpeace
Reason for blacklisting: On Dec 23, 2013 Kapitan Bogomolov was spotted by a French navy plane fishing illegal in the joint Senegal-Guinea Bissau zone with another Russian trawler Oleg Naydenov. The Oleg Naydenov was arrested by Senegal and brought Dakar. She was released after posting a bond of US $832,000 and a bond of US $416,000 for Kapitan Bogomolov
Source of IUU information: http://www.lloydslistintelligence.com/llint/vessels/overview.htm?vesselId=255070
http://www.lanouvelletribune.info/index.php/actualite/etranger/annonces/17760-peche-illegale-le-senegal-obtient-400-millions-du-navire-russe#!/ccomment-comment=145474",,Kapitan Bogomolov,,Murmansk Trawl Fleet Co,273528800,http://blacklist.greenpeace.org/1/vessel/show/242-kapitan-bogomolov,,8607402,,,GreenpeaceBlacklist,Russian Federation,UCUE,"On Dec 23, 2013 Kapitan Bogomolov was spotted by a French navy plane fishing illegal in the joint Senegal-Guinea Bissau zone with another Russian trawler Oleg Naydenov. The Oleg Naydenov was arrested by Senegal and brought Dakar. She was released after posting a bond of US $832,000 and a bond of US $416,000 for Kapitan Bogomolev",1993-12-20,120.47,Russian Federation,Factory Stern Trawler
TK1-1388,,"Greenpeace
Reason for blacklisting: Illegal fishing inside the Cook Islands EEZ
Source of IUU information: Greenpeace 2009 ""Defending Our Pacific"" Expedition",,Koyu Maru 3,,World Tuna Co. Ltd,431100920,http://blacklist.greenpeace.org/1/vessel/show/182-koyu-maru-3,,8909367,,,GreenpeaceBlacklist,Japan,JGER,"Koyu Maru 3, a Japanese flagged longliner, was documented by the helicopter of the Greenpeace ship Esperanza during the Defending Our Pacific tour 2009. Koyu Maru 3 washauling her longline in the Exclusive Economic Zone of the Cook Islands. Koyu Maru 3 doesnot hold a fishing licence with the Cook Islands, therefore fishing activity within the Exclusive Economic Zone by this vessel is illegal.Greenpeace documented the fishing activity of the Koyu Maru 3 and transmitted this information to the Cook Islands Ministry of Marine Resources and the Fisheries Agency of Japan. The response received from the Cook Islands authorities confirmed the position of the sighting was within their Exclusive Economic Zone, and that the vessel Koyu Maru 3 did not have any fishing license or permission to fish within Cook Islands waters.",2009-12-07,50,Japan,Longline
,,"Greenpeace
Reason for blacklisting: ""Transhipment from Illegal fishing vessels in the closed High Seas pocket 1. WCPFC5 [Summary Report - Final 4May2009].pdf
""

Source of IUU information: Defending Our Pacific
Summary of findings from
the Esperanza’s expedition,
September - December 2011
March 1012",,Lapu-Lapu,,NH Agro-Industrial Incorporated,,http://blacklist.greenpeace.org/1/vessel/show/216-lapu-lapu,,,,,GreenpeaceBlacklist,Philippines,DUM3011,"In Pacific Commons Area 1, closed to purse seine fishing by the WCPFC since 2010, six vessels were documented engaged in an illegal purse seine fishing operation. Bearing no name or national flag, and without any identification markings, a fishing vessel using purse seine gear was spotted by helicopter in the process of pursing its net. Alongside it was the freezer reefer vessel Lapu Lapu. The unmarked seiner was accompanied by four support vessels, two of which were tethered to it during fishing operations. The unmarked vessel then transhipped its catch to the Lapu Lapu. The vessel is listed in the WCPFC Record of Fishing vessels",2011-11-24,,Philippines,Reefer
00TP00761M,,"Greenpeace
Reason for blacklisting: ICCAT Art.18 of Recommendation [06-05]. ”CPCs shall take necessary measures to prohibit the use of airplanes or helicopters for searching for bluefin tuna in the Convention Area.”. Recommendation [96-02] already prohibited the use of spotter planes
during the month of June before the new management plan entered into force.
Source of IUU information: Vessel observed during Greenpeace Mediterranean Rainbow Warrior tour 2007",,Ligny Primo,,,,http://blacklist.greenpeace.org/1/vessel/show/175-ligny-primo,,,,,GreenpeaceBlacklist,Italy,ISWJ,"On 14 June 2007, only one day into the new ICCATmanagement plan, Greenpeace witnessed and documented the fishing activities of three Italian purse seine fishing vessels, the Ligny Primo, the Maria Antonietta and the Luca Maria 70. One of those vessels, the Luca Maria, is not included on the ICCAT Register of Fishing Vessels licensed to fish for bluefin tuna.The Italian fleet was surrounded by spotter planes during the entire fishing operation. All three vessels identified and filmed while fishing with the help of spotter planes N415D, N6318F, N3375M and I-GEMK",2007-06-14,42.1,Italy,Purse Seiner
,,"Greenpeace
Reason for blacklisting: Sighted fishing in the USA’s EEZ of Jarvis Atoll on 3 February 2008. The Lina is not listed on the WCPFC Record of Fishing Vessels.
Illegal transhipment to carrier Taiho Maru within WCPFC region
Source of IUU information: http://www.wcpfc.int/system/files/documents/meetings/technical-and-compliance-committee/5th-regular-session/summary-report/TCC5%20Summary%20Report%20and%20Attachments%20%28Edited%20Version%29.pdf",,Lina,,PT Harini Asribahari,,http://blacklist.greenpeace.org/1/vessel/show/201-lina,,7815337,,,GreenpeaceBlacklist,Indonesia,YEUY,"France also reported an incident involving the Lina. France’s inspection of the carrier vessel Taiho Maru in Papeete, French Polynesia on 20 October 2008 indicated that the Taiho Maru was engaged in transhipment with the Lina within the WCPFC Convention Area.",1992-10-31,50.2,Indonesia,Longline
,,"Greenpeace
Reason for blacklisting: Fishing without an ICCAT license. 
ICCAT Art.18 of Recommendation [06-05]. ”CPCs shall take necessary measures to prohibit the use of airplanes or helicopters for searching for bluefin tuna in the Convention Area.”. Recommendation [96-02] already prohibited the use of spotter planes during the month of June before the new management plan entered into force.
Source of IUU information: Vessel observed during Greenpeace Mediterranean Rainbow Warrior tour 2007",,Luca Maria,http://www.greenpeace.org/raw/content/ international/press/reports/pirate-boo ty.pdf  Pirate Booty: How ICCAT is failing to curb IUU fishing,,,http://blacklist.greenpeace.org/1/vessel/show/176-luca-maria,,,,,GreenpeaceBlacklist,Italy,,"Fishing without an ICCAT licenseOn 14 June 2007, only one day into the new ICCATmanagement plan, Greenpeace witnessed and documented the fishing activities of three Italian purse seine fishing vessels, the Ligny Primo, the Maria Antonietta and the Luca Maria. One of those vessels, the Luca Maria, is not included on the ICCAT Register of Fishing Vessels licensed to fish for bluefin tuna.The Italian fleet was surrounded by spotter planes during the entire fishing operation. All three vessels identified and filmed while fishing with the help of spotter planes N415D, N6318F, N3375M and I-GEMK",2007-06-14,,Italy,Purse Seiner
05RC01058,,"Greenpeace
Reason for blacklisting: ICCAT Recommendation [03-04] relating to Mediterranean swordfish prohibits the use of driftnets for fisheries of large pelagics in the Mediterranean Sea. It is the responsibility of all ICCAT Contracting Parties to enforce this Recommendation and adopt a specific
management plan in order to protect the stock of swordfish in the Mediterranean Sea and sustain this fishery. This continued illegal activity should have come to an end when the European Union banned the use of driftnets for catching a wide range of pelagic fishes. EC Regulation EC/1239/98, that entered into force on January 2002.
Source of IUU information: Vessel observed during Greenpeace Mediterranean Arctic Sunrise tour 2008",,Luna Rossa,,,,http://blacklist.greenpeace.org/1/vessel/show/167-luna-rossa,,,,,GreenpeaceBlacklist,Italy,IYUB,"Documented by the Arctic Sunrise on 7 July 2008 fishing with a driftnet in international waters. The vessel was obscuring both their name and vessel number, and cut their net and attempted to flee. Vessel number was documented using the Greenpeace helicopter.",2008-07-07,16.8,Italy,Driftnetter
CT6-0520,,"Greenpeace
Reason for blacklisting: Fish laundering

Notes provide substantial evidence of covering up for illegal activity and engaging in fraud with respect to government documents",,Lung Soon 666,,,,http://blacklist.greenpeace.org/1/vessel/show/42-lung-soon-666,,No data,,,GreenpeaceBlacklist,Taiwan,,One of the 28 Large Scale Tuna Longline Fishing Vessels,,41.7,Taiwan,Longline
CT6-0743,,"Greenpeace
Reason for blacklisting: Fish laundering

Notes provide substantial evidence of covering up for illegal activity and engaging in fraud with respect to government documents",,Lung Soon 888,,,,http://blacklist.greenpeace.org/1/vessel/show/43-lung-soon-888,,,,,GreenpeaceBlacklist,Taiwan,,One of the 28 Large Scale Tuna Longline Fishing Vessels,,44.4,Taiwan,Longline
,,"Greenpeace
Reason for blacklisting: Fish laundering

Notes provide substantial evidence of covering up for illegal activity and engaging in fraud with respect to government documents",,Lung Yuin,,Chang Soon Shipping Corp,353242000,http://blacklist.greenpeace.org/1/vessel/show/25-lung-yuin,,9048603,Singapore,Toyou,GreenpeaceBlacklist,Vanuatu,YJQP3,"A Taiwanese company-owned freezer cargo ship flying a Panamanian flag, carrying frozen bigeye tuna to Japan in 2004. When authorities inspected it, they found that the tuna had been caught by 25 Taiwanese vessels and three Vanuatu flagged fishing boats owned by Taiwanese companies. All 28 boats had given false information about where they had caught the fish, while Lung Yuin had two log books-one true, the other false.",2002-07-31,94.3,Taiwan,Reefer
,,"Greenpeace
Reason for blacklisting: Longline fishing vessel carried out activities in contravention of the Convention; in particular, fishing in New Zealand waters without the permission of New Zealand authorities.",,Lu Rong Yuan Yu 17,,RongCheng Deep-Sea Fisheries Co. Ltd,412690470,http://blacklist.greenpeace.org/1/vessel/show/233-lu-rong-yuan-yu-17,,,,,GreenpeaceBlacklist,China Mainland,BZSI2,In April and September 2011 there were five unauthorised incursions into New Zealand’s Exclusive Economic Zone,2013-11-04,30.46,China Mainland,Longliner
,,"Greenpeace
Reason for blacklisting: Longline fishing vessel carried out activities in contravention of the Convention; in particular, fishing in New Zealand waters without the permission of New Zealand authorities.",,Lu Rong Yuan Yu 29,,SHANDONG LIDAO OCEANIC TECHNOLGY CO.LTD.,413322760,http://blacklist.greenpeace.org/1/vessel/show/234-lu-rong-yuan-yu-29,,,,,GreenpeaceBlacklist,China Mainland,BBZN4,In April and September 2011 there were five unauthorised incursions into New Zealand’s Exclusive Economic Zone,2013-11-04,32.74,China Mainland,Longliner
A-3337-N,,"Greenpeace
Reason for blacklisting: Under NAFO Conservation and Enforcement

measures, a vessel has to move a minimum of 5

nautical miles from an area if its catches include

a level of by-catch greater than 5% of the total",,Lutador,,Sociedade de Pesca do Miradouro Lda,,http://blacklist.greenpeace.org/1/vessel/show/54-lutador,,6711390.0,,,GreenpeaceBlacklist,Portugal,CUFG,"An Observer report from the Portuguese-flagged vessel Lutador for the fishing period October2002-March 2003, showed that approximately 58tonnes",1967-08-31,80.3,Portugal,Trawler
CT4-2884,,"Greenpeace
Reason for blacklisting: 
Source of IUU information: Fishing inside the USA’s EEZ around the Northern Mariana Islands, a USA Commonwealth Territory, without a permit, in August 2008.",,MAAN FENG YU NO.36,,"CHEN,WEN-CHING",881621416562,http://blacklist.greenpeace.org/1/vessel/show/192-maan-feng-yu-no36,,,,,GreenpeaceBlacklist,Taiwan,BJ4884,"Taiwan has confirmed through VMS data that the vessel fished illegally within the USA’s EEZ but has not imposed a sanction on this vessel, its captain or its owner.The USA issued a fine in the amount of USD 130,000 on 27 February 2009.Taiwan instructed the vessel to settle with the USA Government. Settlement discussions were ongoing during TCC5.TCC5 agreed to include the Maan Feng Yu No. 36 on the Provisional IUU Vessel List and noted that the vessel shall be removed from the list once the USA confirms satisfactory settlement of the matter.",2010-08-17,26.1,Taiwan,Longliner
ROS197,,"Greenpeace
Reason for blacklisting: Illegal fishing in the English Channel
Source of IUU information: http://www.lloydslistintelligence.com/llint/vessels/overview.htm?vesselId=285454

http://www.connexionfrance.com/Maartje-Theadora-Cherbourg-Hoover-trawler-Havre-14350-view-article.html

http://www.undercurrentnews.com/2012/12/24/8467/#.UW-flaJkOSo",,Maartje Theadora,,Parlevliet en Van der Plas B.V.,218066000,http://blacklist.greenpeace.org/1/vessel/show/230-maartje-theadora,,9182801,Netherlands,,GreenpeaceBlacklist,Germany,DEAN2,"In December 2012, the 141-meter German-registered Maartje Theadora, beneficially owned by Dutch pelagic giant Parlevliet & Van Der Plas, was stopped inside French territorial waters off Cap d’Antifer",1997-01-04,140.8,Netherlands,Factory Trawler
,,"Greenpeace
Reason for blacklisting: July 6, 2008 - The Estonian vessel, Madrus, was boarded by Canadian NAFO inspectors in Division 3M of the NAFO Regulatory Area. The Master of the vessel was issued two citations; one for failing to maintain an accurate stowage plan and a second for failing to properly label product according to the NAFO Conservation and Enforcement Measures.
Source of IUU information:",,Madrus,,Grupo Oya Perez SL,276544000.0,http://blacklist.greenpeace.org/1/vessel/show/59-madrus,,8215053.0,Spain,Heroya Primero,GreenpeaceBlacklist,Estonia,ESGO,"In 2004 the Spanish company Grupo Oya Perez, through one of its subsidiaries became a shareholder of the Estonian company that owns the vessel. Grupo Oya Perez is the owner of the notorious pirate Patagonian toothfish vessel, Ross",2003-02-01,73.8,Spain,Trawler
,,"Greenpeace
Reason for blacklisting: Use of different and false identities

Breaches of Fiji Customs Act 1986 section 137 and section 155.
Source of IUU information: http://www.greenpeace.org/australia/news-and-events/news/overfishing/pirates-in-suva",,Mahkota Abadi 196,,Kee Yu Pao,,http://blacklist.greenpeace.org/1/vessel/show/51-mahkota-abadi-196,,8994295.0,Belize,Wen Teng No. 688,GreenpeaceBlacklist,,,"While on port watch  in the autumn of 2006 a Greenpeace activist photographed a ship in Suva harbour going by the name of Mahkota Abadi. On closer inspection, he found it was really the Wen Teng No 688, a known pirate fishing ship blacklisted under IATTC. Four days later, he noticed crew members painting a different name on the ship.Renaming, using false names, changing their flag state, and switching areas are all common tactics used by pirate fishing vessels to confuse authorities.",,25.8,Taiwan,Longline
,,"Greenpeace
Reason for blacklisting: Transhipping
without authorisation to the Canarian
Reefer. Jan 2012: Fleeing Sierra Leone.
OUTSTANDING FINE IN SIERRA LEONE.
Source of IUU information: http://www.lloydslistintelligence.com/llint/vessels/overview.htm?vesselId=336413&channel;=home

http://ejfoundation.org/sites/default/files/public/Pirate%20Fishing%20Exposed.pdf

https://webgate.ec.europa.eu/sanco/traces/output/KR/FFP_KR_fr.pdf",,Marci 777,,Bugang International Company Limited,440553000,http://blacklist.greenpeace.org/1/vessel/show/225-marci-777,,9036624,Japan,Hime Maru No.38,GreenpeaceBlacklist,"Korea, Republic of",DTBS7,"In recorded telephone conversations with the Captain of the Canarian Reefer via satellite phone, EJF was able to confirm two unauthorised transhipments by Five Star and Marcia 777, both of which subsequently fled Sierra Leone. EJF Investigator: Hi Captain. Captain, Canarian Reefer",2011-05-10,55,"Korea, Republic of",Stern Trawler
,,"Greenpeace
Reason for blacklisting: Illegal fishing inside Sierra Leone inshore zone
Source of IUU information: http://www.lloydslistintelligence.com/llint/vessels/overview.htm?vesselId=123063&channel;=home

http://ejfoundation.org/sites/default/files/public/Pirate%20Fishing%20Exposed.pdf

https://webgate.ec.europa.eu/sanco/traces/output/KR/FFP_KR_fr.pdf",,Marcia 707,,Bugang International Company Limited,,http://blacklist.greenpeace.org/1/vessel/show/222-marcia-707,,7205336,,,GreenpeaceBlacklist,"Korea, Republic of",6MBA,"Between January and March 2011, EJF documented four vessels fishing illegally in the inshore areas near Sherbro Island in Sierra Leone: Medra, Marcia 707, 515 Amapola and Seta 70. All of the vessels are Korean-flagged and accredited to export their fish to the EU, though Medra has also been listed as flagged to Honduras. The vessels were responsible for causing extensive damage to local fishing equipment in the IEZ.",2011-01-18,57.7,"Korea, Republic of",Trawler
00SA00057M,,"Greenpeace
Reason for blacklisting: ICCAT Art.18 of Recommendation [06-05]. ”CPCs shall take necessary measures to prohibit the use of airplanes or helicopters for searching for bluefin tuna in the Convention Area.”. Recommendation [96-02] already prohibited the use of spotter planes during the month of June before the new management plan entered into force.
Source of IUU information: Vessel observed during Greenpeace Mediterranean Rainbow Warrior tour 2007",,Maria Antonietta,http://www.greenpeace.org/raw/content/ international/press/reports/pirate-boo ty.pdf  Pirate Booty: How Iccat is failing to curb IUU fishing,,,http://blacklist.greenpeace.org/1/vessel/show/177-maria-antonietta,,,,,GreenpeaceBlacklist,Italy,ILSA,"On 14 June 2007, only one day into the new ICCATmanagement plan, Greenpeace witnessed and documented the fishing activities of three Italian purse seine fishing vessels, the Ligny Primo, the Maria Antonietta and the Luca Maria. One of those vessels, the Luca Maria, is not included on the ICCAT Register of Fishing Vessels licensed to fish for bluefin tuna.The Italian fleet was surrounded by spotter planes during the entire fishing operation. All three vessels identified and filmed while fishing with the help of spotter planes N415D, N6318F, N3375M and I-GEMK",2007-06-14,43.7,Italy,Purse Seiner
